Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Killer Goodbye,1969,"Winchester Justice; Killer, Adios",Primo Zeglio,Peter Lee Lawrence,"Marisa Solinas, Eduardo Fajardo, Armando Calvo, Rosalba Neri, Miguel Del Castillo, Nello Pazzafini",Claudio Tallino,"Jess Frain (Peter Lee Lawrence) returns to his home town of Fulton City to clear his name and re-establish law and order alongside the sheriff. He is confronted by two warring factions fighting for economic control of the town, discovering that a corrupt mastermind (Eduardo Fajardo) is pulling the strings from the shadows."
Killer Kid,1967,Killer Kid,Leopoldo Savona,Anthony Steffen,"Liz Barret, Fernando Sancho, Ken Wood (Giovanni Cianfriglia), Nelson Rubien, Adriano Vitale",Berto Pisano,"An American government agent (Anthony Steffen) goes undercover in revolutionary Mexico as an arms smuggler known as Killer Kid. Witnessing the immense suffering of the Mexican peasants at the hands of a tyrannical military regime, his political loyalties shift, leading him to join the rebel forces in a desperate assault."
"Kitosch, the Man Who Came from the North",1967,"Man from the North; Kitosch, l'Uomo Che dal Nord",José Luis Merino (as Joseph Marvin),George Hilton,"Krista Nell, Piero Lulli, Enrique Ávila, Ricardo Palacios, Gustavo Rojo",Angelo Francesco Lavagnino,"George Hilton stars as Major Zachary Baker of the Canadian Mounted Police, tasked with transporting $500,000 in gold bars through hostile wilderness to Fort Eagles. To protect the payload, he conceals the gold inside five coffins escorted by a mourning party of widows, only to find the destination fort destroyed by outlaws."
Kung Fu Brothers in the Wild West,1973,"Winchester, Kung Fu and Karate; Kung Fu nel Pazzo West",Yeo Ban Yee,Jason Pai-Pico,"William Berger, Po Chih Leo, Donald O'Brien, Sally Leh",Franco Bracardi,"An East-meets-West curiosity produced between Italy and Hong Kong. Two Chinese brothers travel to the American West, encountering racism and violence from local outlaws while fulfilling a mission to protect an immigrant settlement against a rogue samurai assassin."
Land Raiders,1969,Bruciatelo Vivo; Last of the Landgrabbers,Nathan Juran,Telly Savalas,"George Maharis, Arlene Dahl, Janet Landgard, Jocelyn Lane, Peter Dane, George Coulouris",Bruno Nicolai,"A bigoted land baron (Telly Savalas) attempts to drive out local native tribes by paying townsfolk bounties for scalps. His estranged brother (George Maharis) returns to the territory just in time to stop his violent campaign, triggering a major family showdown and armed confrontation across the border."
Last Gun,1964,Lonely Gunslinger; Killer's Canyon; Jim il Primo,Sergio Bergonzelli,Cameron Mitchell,"Carl Mohner, Celina Cely, Kitty Carver, Livio Lorenzon, Marty Gordon",Marcello Gigante,"A notorious gunslinger (Cameron Mitchell) decides to hang up his pistols and retire peacefully to a quiet frontier settlement. When an aggressive outlaw gang terrorizes the townspeople and corrupts the local authorities, he is forced to strap on his six-guns one final time to restore order."
Last of the Mohicans,1965,Fall of the Mohicans; L'Ultimo dei Mohicani,Matteo Cano,Jack Taylor,"Paul Müller, Sara Lezana, Dan Martin, José Manuel Martin, Barbara Loy, Luis Induñi, José Marco",Bruno Canfora,A European western adaptation inspired by James Fenimore Cooper's classic novel. Scout Hawkeye and his Mohican companion Luncas (Dan Martin) join forces with a British officer (Jack Taylor) to thwart a corrupt fort commander and hostile warriors conspiring to drive settlers from the frontier.
Last Rebel,1971,L'Ultimo Pistolero,Denys McCoy,Joe Namath,"Jack Elam, Woody Strode, Ty Hardin, Victoria George, Renato Romano, Mike Forest",Jon Lord / Tony Ashton,"Former NFL star Joe Namath plays Burnside Hollis, an ex-Confederate soldier who rescues a former slave (Woody Strode) from a lynching at the close of the Civil War. The pair team up with a partner (Jack Elam) running pool-hall scams until greed and betrayal lead to a climactic duel."
Last Ride to Santa Cruz,1969,Der Letzte Ritt nach Santa Cruz,Rolf Olsen,Edmund Purdom,"Mario Adorf, Marianne Koch, Klaus Kinski, Marisa Mell, Edmund Haskins, Thomas Fritson",Erwin Halletz,"A corrupt sheriff (Mario Adorf) wrongfully frames and imprisons an innocent frontiersman (Edmund Purdom). Escaping from federal custody years later, the vengeful fugitive returns to the territory to clear his name and take down the crooked lawman's syndicate. Co-stars Klaus Kinski."
Last Tomahawk,1965,La Valle delle Ombre Rosse; Der Letzte Mohikaner,Harald Reinl,Anthony Steffen,"Karin Dor, Dan Martin, Luis Induñi, Joachim Fuchsberger, Angel Ter, Carl Lange",Peter Thomas,"A companion to the Karl May frontier films, starring Anthony Steffen as Strongheart and Dan Martin as Chinga. The heroes struggle to maintain peace and prevent a catastrophic war between feuding native tribes and manipulative frontier land speculators."
Law of Violence,1969,Legge della Violenza; Todos o Ninguno,Gianni Crea,George Greenwood,"Conrad Steve, Manuel Branchud, Angel Miranda",Stelvio Cipriani,Retired bounty hunter Lester Moore (George Greenwood) accepts the position of sheriff in a small border town that is plagued by nightly assaults from an elusive band of Mexican outlaws. Moore uses his tactical experience to lay a trap for the gang.
Left Handed Johnny West,1965,Johnny West il Mancino,Gianfranco Parolini (as Frank Kramer),Dick Palmer (Mimmo Palmara),"Mike Anthony, Roger Delaporte, André Bollet, Mara Cruz, Diana Garson, Roberto Camardiel",Angelo Francesco Lavagnino,"Mimmo Palmara stars as legendary southpaw marksman Johnny West, a roaming lawman investigating the murder of an affluent mine owner. Despite local accusations pointing toward two outlaw brothers, West uncovers the real conspiracy orchestrated by regional officials."
Legacy of the Incas,1965,El Último Rey de los Incas; Das Vermachtnis des Inka,Georg Marischka,Guy Madison,"Rik Battaglia, Fernando Rey, William Rothlein, Francisco Rabal, Heinz Ehrhardt, Walter Giller",Angelo Francesco Lavagnino,"A unique South American western set in the mountains of Peru. Guy Madison plays Wutuma, the last royal descendant of the Incas, who is tasked by the Peruvian president (Fernando Rey) with preventing a violent insurrection led by a renegade native leader and rogue bandits."
Lemonade Joe,1966,Limonadovy Joe... Konska Opera,Oldrich Lipsky,Karel Fiala,"Milos Kopecky, Kveta Fialova, Olga Schoberova, Karel Effa, Waldemar Matuska",Jan Rychlik,"A celebrated Czechoslovakian musical western satire. Karel Fiala plays the pristine, teetotaling cowboy Lemonade Joe, whose superhuman marksmanship is fueled entirely by Kolaloka lemonade. Joe arrives in Stetson City to wage war on whiskey-drinking outlaws and corrupt saloon tycoons."
Let Them Rest,1967,Kill and Pray; Requiescant,Carlo Lizzani,Lou Castel,"Mark Damon, Pier Paolo Pasolini, Barbara Frey, Rossana Martini, Mirella Maravidi, Franco Citti",Riz Ortolani,"A surreal and politically charged gothic western. Lou Castel plays Requiescant, a gentle young man raised by a preacher who discovers an innate, lethal gift for shooting. He embarks on a quest to find his foster sister, confronting a decadent and sadistic aristocratic land baron played by Mark Damon."
Let's Go and Kill Sartana,1972,Vamos a Matar Sartana,Mario Pinzauti,Gordon Mitchell,"George Martin, Isarco Ravajoli, Virginia Rodin, Cris Huerta, Monica Taber",Pat Bodie (José Espieta),"Two former prison inmates, Clay and Greg (George Martin and Gordon Mitchell), part ways upon their release—one seeking an honest life and the other immediately returning to highway robbery. When Greg's gang raids Clay's family ranch, an inevitable duel ensues. The Sartana of the title is entirely absent from the film."
Light the Fuse... Sartana Is Coming,1971,"Gunman in Town; Cloud of Dust... Cry of Death; Una Nuvola di Polvere... un Grido di Morte, Arriva Sartana",Giuliano Carmineo (as Anthony Ascott),Gianni Garko,"Susan Scott (Nieves Navarro), Piero Lulli, Bruno Corazzari, Frank Braña, Massimo Serato, José Jaspe",Bruno Nicolai,"Gianni Garko returns as Sartana, breaking a fellow gambler out of prison to clear him of a false murder charge. Navigating a landscape of deceit, bounty hunters, and double-crossing town officials, Sartana uncovers a stolen fortune hidden in a web of musical instruments and clockwork devices."
Long Day of the Massacre,1968,Il Lungo Giorno del Massacro,Alberto Cardone (as Albert Cardiff),Peter Martell,"Glenn Saxon, Manuel Servano, Liz Barret, Daniela Giordano",Michele Lacerenza,"A gritty, low-budget 1968 entry following an embittered gunslinger (Peter Martell) who finds himself trapped in a volatile territory controlled by competing outlaw factions. Aided by a mysterious drifter (Glenn Saxon), he fights his way through a wave of ambush attempts."
Long Days of Vengeance,1967,I Lunghi Giorni della Vendetta; Faccia d'Angelo,Florestano Vancini (as Stan Vance),Giuliano Gemma,"Francisco Rabal, Gabriella Giorgelli, Conrado Sanmartin, Nieves Navarro, Franco Cobi D'Este",Armando Trovajoli,"A loose adaptation of The Count of Monte Cristo set in the American West. Ted Barnett (Giuliano Gemma) escapes from prison to prove he was framed for his father's murder, systematically hunting down the corrupt sheriff and the traitorous arms-smuggler (Conrado Sanmartin) responsible."
Long Ride from Hell,1968,I Live for Your Death; Vivo per la Tua Morte,Luigi Bazzoni (as Alex Burkes),Steve Reeves,"Wayde Preston, Lee Burton, Dick Palmer, Ted Carter, Franco Fantasia, Aldo Sambrell, Rosalba Neri",Carlo Savina,"Bodybuilding icon Steve Reeves stars in his only western as Mike, a rancher framed for horse theft by a corrupt cattle baron (Wayde Preston). Escaping from a brutal prison camp after his brother dies, Mike returns to Yuma City to exact retribution with the assistance of a saloon woman (Rosalba Neri)."
Lost Treasure of the Incas,1965,Lost Treasure of the Aztecs; Sansone e il Tesoro degli Incas,Piero Pierotti,Alan Steel (Sergio Ciani),"Toni Sailer, Wolfgang Lukschy, Brigitte Heiberg, Mario Petri, Pierre Cressoy",Angelo Francesco Lavagnino,"Peplum muscleman Alan Steel stars as Samson alongside gunfighter Alan Fox. When an innocent man is murdered by a crooked town boss, the heroes assist the victim's daughter, leading them into an adventurous quest that uncovers the hidden ruins and gold of a lost Inca civilization."
Lucky Johnny: Born in America,1973,Dead Aim; Lucky Johnny,José Antonio Balanos,Glen Lee,"Virgil Frye, James Westerfield, Evaristo Marquez, Sonny Vandeusen",Luchi De Jesus,"Filmed in Mexico, this gritty production follows Johnny, a notorious marksman raised by an eccentric undertaker. When Johnny falls in love with a woman trapped in an abusive marriage to a violent outlaw chieftain, the conflict explodes into a lethal desert pursuit."
Machine Gun Killers,1968,Gatling Gun; Damned Hot Day of Fire; Quel Caldo Maledetto Giorno di Fuoco,Paolo Bianchini,Robert Woods,"John Ireland, Evelyn Stewart, Claudie Lange, George Rigaud, Roberto Camardiel, Furio Meniconi",Piero Piccioni,"When the inventor of a revolutionary rapid-fire Gatling gun is abducted by a ruthless Mexican mercenary (John Ireland), Union officer Chris Tanner (Robert Woods) is framed for treason. Escaping custody, Tanner launches a desperate manhunt to rescue the inventor and recover the weapon."
Macho Killers,1977,El Macho,Marcello Andrei (as Mark Andrew),Carlos Monzon,"George Hilton, Malisa Longo, Susanna Gimenez, Miguel Bosè",Marcello Romoino,"World middleweight boxing champion Carlos Monzon plays El Macho, a gambler who impersonates a deceased outlaw to infiltrate a gang commanded by an eccentric, champagne-sipping bandit (George Hilton). When the corrupt local sheriff double-crosses him, a massive town-square firefight erupts."
Mad Dog Morgan,1975,Mad Dog,Philippe Mora,Dennis Hopper,"Jack Thompson, David Gulpilil, Frank Thring, Michael Pate, Wallas Eaton",Nigel Warren,"A fierce Australian bushranger classic sharing the raw DNA of the Eurowestern. Dennis Hopper gives an unhinged, hypnotic performance as legendary historical outlaw Dan Morgan, who turns to banditry to survive and wages a bloody guerrilla war against the colonial authorities across the 1850s Australian wilderness."
Magnificent Brutes of the West,1965,Badmen of the West; I Magnifici Brutos del West,Marino Girolami (as Fred Wilson),I Quattro Brutos,"Giacomo Rossi Stuart, Emma Penella, Darry-Cowl, Alfredo Mayo, Julio Peña",Francesco De Masi,"A slapstick frontier farce featuring the comedy troupe 'I Quattro Brutos'. When four bumbling handymen inadvertently wipe out a bandit crew in Fresno, they take over the local mortuary business, getting caught between a dedicated undercover marshal (Giacomo Rossi Stuart) and a hostile outlaw gang."
Magnificent Texan,1967,Il Magnifico Texano,Luigi Capuano (as Lewis King),Glenn Saxon,"Benny Deus, Barbara Loy, Luis Induñi, John Barracuda, George Greenwood, Gloria Osuna",Francesco De Masi (as Frank Mason),"Glenn Saxon plays Manny, an unassuming saloon keeper who secretly acts as a masked Robin Hood-style hero for oppressed Mexican peasants. While defending the community from a tyrannical land baron and his sadistic son, Manny systematically settles the score for his parents' murder."
Magnificent Three,1963,Three Good Men; I Tre Implacabili,Joaquin Romero Marchent,Geoffrey Horne,"Robert Hundar, Massimo Carocci, Fernando Sancho, Cristina Gajoni, Paul Piaget, Raf Baldassare",Manuel Parada / Francesco De Masi,"An early Spanish-Italian effort following three loyal frontier comrades (Geoffrey Horne, Robert Hundar, and Paul Piaget) who rally pioneer settlers to defend their territory and ranches from an invasion by an aggressive bandit outfit led by Fernando Sancho."
Magnificent West,1972,Il Magnifico West,Gianni Crea,Vassili Karis,"Lorenzo Fineschi, Dario Pino, Italo Gasperini, Enzo Pulcrano, Gordon Mitchell, Sergio Scarchili",Stelvio Cipriani,"Vassili Karis plays an agile, roguish adventurer searching across the frontier for a shipment of stolen gold bullion misappropriated by his former partner. His investigation leads him into constant clashes with outlaws, culminating in a showdown with a ruthless rival played by Gordon Mitchell."
Mallory Must Not Die,1971,My Name Is Mallory... M Means Death; Il Mio Nome È Mallory... 'M' Come Morte,Mario Moroni,Robert Woods,"Gabriella Giorgelli, Teodoro Corra, Aldo Berti",Roberto Pregadio,"A laconic bounty hunter named Mallory (Robert Woods) tracks an escaped killer into the small mining community of Coppermine. As he falls in love with a local woman, Mallory must untangle a web of town corruption to draw his target into a final street showdown."
